countryname,Cnt
"""Kelowna""",1
"""Ukrainian Soviet Socialist Republic""",1
"""Hamburg""",1
"""Lancashire""",1
"""DEN""",1
"""Maharashtra""",1
"""St Vincent and the Grenadines""",1
"""Buganda""",1
"""Collectivity of Saint Martin""",1
"""Pennsylvania""",1
"""Tuscany""",1
"""Noida""",1
"""Provisional Government of the Republic of China""",1
"""Zürich""",1
"""JORDAN""",1
"""Tehran""",1
"""Christmas Island""",1
"""Surrey""",1
"""Selangor""",1
"""Basseterre""",1
"""States of South Sudan""",1
"""Babylon""",1
"""Birmingham""",1
"""Argentines""",1
"""Protectorate of Bohemia and Moravia""",1
"""Saint Kitts""",1
"""Bologna""",1
"""Union of South Africa""",1
